product_name,sku,brand,category,code,model,color,department,department_original,description_eng,errors,feed_name,gtin,images,made_in,materials,season,year
CREWNECK JUMPER,3796412,BRUNO MANETTI,JUMPERS,H2T100 018,,,female,DONNA,CREWNECK JUMPER,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,SS23,2023
ROUNDNECK SWEATER,3818043,BRUNO MANETTI,JUMPERS,L2C122 009,,,female,DONNA,ROUNDNECK SWEATER,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
5 POCKETS PANTS,3817903,Y CHAI,TROUSERS,YPU037 1TS0083 903,,GRIGIO,male,UOMO,5 POCKETS PANTS,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
CASHMERE CARDIGAN,3823053,LAMBERTO LOSANI,CARDIGANS,318049 0185,,BEIGE,female,DONNA,CASHMERE CARDIGAN,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],ITALY,,FW23,2023
ROUNDNECK SWEATER,3817983,BRUNO MANETTI,JUMPERS,L2B112 000,,,female,DONNA,ROUNDNECK SWEATER,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
BOOTCUT JEANS,3808813,FRAME,JEANS,HNTCMB727 DLAG,,DENIM,female,DONNA,BOOTCUT JEANS,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],PARAGUAY,Cotton 100%%,FW23,2023
ROUNDNECK SWEATER,3818033,BRUNO MANETTI,JUMPERS,L2C122 000,,,female,DONNA,ROUNDNECK SWEATER,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
NECKLACE,3838083,ERMANNO SCERVINO,NECKLACES,D433X706MTP Y4352,,,female,DONNA,NECKLACE,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
CASHMERE GLOVES,3827113,ALBERTA FERRETTI,GLOVES,A3581 5102 0555,,NERO,female,DONNA,CASHMERE GLOVES,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW23,2023
CREWNECK SWEATER,3847613,ZANONE,JUMPERS,812530 ZY270 Z1664,,,male,UOMO,CREWNECK SWEATER,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],ITALY,,FW23,2023
