sku,code,gtin,name,brand,color,model,price,sizes,errors,images,season,made_in,category,feed_name,department,product_id,season_year,color_original,made_in_original,category_original,materials_original,department_original,unit_system_name_original,year,collection,dimensions,collection_original,title,sizes_raw,season_raw,description,size_system,category_item,season_display,sizes_original,vendor_product_id,lens_all_matches,lens_brand_matches,description_eng,materials,weight,additional_info,accuracy_score,image_links,confidence_score,source_url,_enrichment_tool,_enrichment_status,_enrichment_fill_rate,_enriched_fields,_enrichment_error,_enrichment_accuracy_score
5887_8531_305/4.4,,,,,MULTICOLOR,,,,,,SS25,Italy,,,,,,,,,,,,2025,,,,Brando-Lubiam Multicolor Dress,,,,,,,,,,,"Men's multicolor dress from Brando-Lubiam, an Italian tailoring brand. Part of the SS25 collection.",,,"Brando-Lubiam is a sub-brand of Lubiam, known for Italian men's tailoring.",,,none,https://www.breficom.com/en-US/men/designer/brando-lubiam,claude,partial,0.42,"title,description_eng,season,year,made_in,color,additional_info",,3
3921314,,,,,,,,,,,FW24,ALBANIA,,,,,,,,,,,,2024,,,,Glanshirt Slim-Fit Shirt,,,,,,,,,,,"Men's shirt by Glanshirt, part of the Slowear group. Made in Albania for FW24.",,,"Glanshirt is part of the Slowear group, specializing in stylish informal shirts. Available on slowear.com and FARFETCH.",,,low,https://www.slowear.com/en-us/collections/glanshirt,claude,partial,0.33,"title,description_eng,season,year,made_in,additional_info",,3
3849553,,,,,,,,,,,FW23,,,,,,,,,,,,,2023,,,,Finamore Shirt,,,,,,,,,,,"Men's shirt by Finamore, a Neapolitan shirtmaker. Style code 460110 C0510 04, FW23 collection.",,,Finamore is a renowned Neapolitan shirtmaker known for handcrafted Italian shirts.,,,none,,claude,partial,0.25,"title,description_eng,season,year,additional_info",Product not found in web search,2
26230113.Blue,,,,,BLUE,,,,,,SS26,Turkey,,,,,,,,,,,,2026,SS26 Chapter 2,,,Mini Rodini Alien Application Trousers Blue,,,,,,,,,,,"Kids' trousers crafted in soft blue fabric, featuring a bold white double sports stripe running down one leg and an embroidered alien application on the other for an asymmetrical look. Part of Mini Rodini's SS26 Chapter 2 collection.",100% ORGANIC COTTON,,"Pairs with the Alien Application SS Tee for a coordinated cosmic ensemble. Organic cotton, sustainably made.",,https://smoochiebaby.com/cdn/shop/files/2623011360.jpg,high,https://smoochiebaby.com/products/alien-application-trousers,claude,success,0.83,"title,description_eng,season,year,collection,made_in,materials,color,additional_info",,9
188835,,,,,Black,,,,,,,Italy,,,,,,,,,,,,,,Sole: 4 cm,,CB Made in Italy Sirio Black Tumbled Leather Boots,,,,,,,,,,,"Extreme winter laced up ankle boot inspired by timeless mountain attire. Features almond toe, metallic hook eyelets, hand-stitched hammered leather, and rubber Vibram sole. Sole height 4 cm.",Tumbled Leather,,"Vibram sole. CB Made in Italy is based in Milan, founded by Cecilia Bringheli and Sibilla De Vuono. Gender-neutral footwear and leather goods.",,https://www.cbmadeinitaly.com/wp-content/uploads/2022/11/sirio_nero.jpg,high,https://www.cbmadeinitaly.com/product/sirio-black-tumbled-leather/,claude,success,0.67,"title,description_eng,dimensions,made_in,materials,color,additional_info",,8
3941964,,,,,NERO,,,,,,FW24,TURKEY,,,,,,,,,,,,2024,,,,DESA 1972 Shearling Jacket Black,,,,,,,,,,,"Men's shearling jacket in black by DESA 1972, a luxury leather brand founded in 1972. Made in Turkey, FW24 collection.",,,DESA 1972 is a leader in luxury leather creation. Available on FARFETCH and the official DESA website (1972desa.com).,,,low,https://www.farfetch.com/shopping/men/desa-1972/jackets-2/items.aspx,claude,partial,0.42,"title,description_eng,season,year,made_in,color,additional_info",Exact product not found; brand-level match only,4
3940754,,,,,NERO,,,,,,FW24,ITALY,,,,,,,,,,,,2024,,,,Antonino Valenti Pia Midi Skirt Black,,,,,,,,,,,Women's Pia midi skirt in black merino by Antonino Valenti. Italian womenswear brand specializing in elegant ready-to-wear and couture knitwear. FW24 collection.,Merino,,"Available on FARFETCH, Italist, MilanStyle. RRP ~$1,009, often discounted 50%+.",,,medium,https://www.italist.com/us/brands/antonino-valenti/6475/women/,claude,partial,0.58,"title,description_eng,season,year,made_in,materials,color,additional_info",,6
3922424,,,,,,,,,,,FW24,,,,,,,,,,,,,2024,,,,Zanone Cardigan,,,,,,,,,,,"Women's cardigan by Zanone, an Italian knitwear brand founded in 1986. Part of the Slowear group, specializing in premium knit essentials.",,,"Zanone is part of the Slowear group. Available at slowear.com, GIGLIO.COM, and authorized retailers.",,,low,https://www.slowear.com/en-us/collections/zanone,claude,partial,0.33,"title,description_eng,season,year,additional_info",Exact product code not found on retailer sites,3
26230115.Beige,,,,,BEIGE,,,,,,SS26,India,,,,,,,,,,,,2026,SS26,,,Mini Rodini Alien City FC AOP Sweatpants Beige,,,,,,,,,,,"Kids' sweatpants in beige with all-over Alien City FC print including footballs. Soft sweat fabric with elastic waistband and drawstring, ribbed cuffs at leg openings. Relaxed fit for freedom of movement.",100% ORGANIC COTTON,,Part of Mini Rodini's Alien City FC collection. Available at Luksusbaby and other international kids' retailers.,,https://luksusbaby.kr/cdn/shop/files/2623011517.jpg,high,https://luksusbaby.kr/products/mini-rodini-beige-alien-city-fc-aop-sweatpants,claude,success,0.83,"title,description_eng,season,year,collection,made_in,materials,color,additional_info",,9
3917223,,,,,,,,,,,FW24,,,,,,,,,,,,,2024,,,,Jil Sander Necklace,,,,,,,,,,,"Women's necklace by Jil Sander, FW24 collection. Jil Sander is known for minimalist luxury jewelry and accessories.",,,"Available at Jil Sander official store, FARFETCH, SSENSE, NET-A-PORTER, and 24S.",,,low,https://www.jilsander.com/en-us/women/accessories/jewelry,claude,partial,0.25,"title,description_eng,season,year,additional_info",Specific SKU J11UU0130P6959 not found,2
L44S24FU4LG.V3732,,,,,GREEN,,,,,,SS26,ITALY,,,,,,,,,,,,2026,SS26,,,Dolce & Gabbana Junior Green Linen Shirt,,,,,,,,,,,"Boy's green linen shirt by Dolce & Gabbana Junior. 100% linen, made in Italy. SS26 collection.",100% LINEN,,"Part of D&G Junior line. Available at Childrensalon, Junior Couture, and other luxury children's retailers.",,,low,https://www.childrensalon.com/designer/dolce-gabbana/tops/shirts,claude,partial,0.50,"title,description_eng,season,year,collection,made_in,materials,color,additional_info",Exact SKU not found in SS26 listings,4
OBAA002S26JER007.001,,,,,BLACK,,,,,,SS26,PORTUGAL,,,,,,,,,,,,2026,SS26,,,Off-White OW Multilogo Tee Black,,,,,,,,,,,"Boy's short-sleeve t-shirt in black with OW multilogo print. 100% cotton, made in Portugal. SS26 collection by Off-White.",100% COTTON,,"Off-White streetwear brand. Available on off---white.com, SSENSE, StockX, and GOAT.",,,low,https://www.off---white.com/en-us/,claude,partial,0.50,"title,description_eng,season,year,collection,made_in,materials,color,additional_info",Exact SKU not found; SS26 collection not yet indexed,4
BUS6WU02.WHI,,,,,WHITE,,,,,,,Portugal (PT),,,,,,,,,,,,,,,,Burberry Check Trim Bikini White,,,,,,,,,,,"Women's triangle bikini in white featuring Burberry's signature check pattern. Halter neck ties, adjustable side ties, removable padded cups. 73% polyamide, 27% elastane.",73%POLYAMIDE (NYLON) 27%ELASTANE,,Note: Brand name in feed is 'BURBURRY' - likely a typo for Burberry. Code 8070464-A1464. Available at us.burberry.com and other luxury retailers.,,,medium,https://us.burberry.com/check-trim-bikini-p80107701,claude,partial,0.42,"title,description_eng,made_in,materials,color,additional_info",,5
3896793,,,,,,,,,,,SS24,ITALY,,,,,,,,,,,,2024,,,,Finamore Shirt,,,,,,,,,,,"Men's shirt by Finamore, a prestigious Neapolitan shirtmaker. Style code 180059 P4053J 07, made in Italy, SS24 collection.",,,"Finamore is a renowned Neapolitan shirtmaker founded in 1925, known for handcrafted shirts.",,,none,,claude,partial,0.33,"title,description_eng,season,year,made_in,additional_info",Product not found in web search,3
COS6WJ01.GRE,,,,,green,,,,,,,Portugal (PT),,,,,,,,,,,,,Vinyle Reeditions,,,Courreges Vinyle Reedition Jacket Light Mint,,,,,,,,,,,"Women's jacket in light mint by Courreges. Part of the Vinyle Reeditions collection referencing the iconic 1971 model. 88% cotton, 2% spandex/elastane, 10% polyurethane.",88%Cotton 2%Spandex/Elastane 10%Polyurethane,,"Courreges glossy vinyl jacket from the Reeditions collection. Available at The Webster ($1,350) and other luxury retailers.",,,medium,https://thewebster.com/shop/women/clothing/jackets/courreges.html,claude,partial,0.50,"title,description_eng,collection,made_in,materials,color,additional_info",,6
AMS6WT02.AZU,,,,,AZURE,,,,,,,Italy (IT),,,,,,,,,,,,,,,,Alexander McQueen Cropped Tailored Trousers Ice Blue,,,,,,,,,,,"Women's cropped tailored trousers in ice blue leaf crepe. Detailed with belt loops, two side pockets, two welt pockets on the back, concealed zip and hook fastening.","VISCOSE 100%, ACETATE 74%, SILK 26%",,"Product code 857718QEAAA4602. Available on alexandermcqueen.com. Iron at max 120C without steam, do not wash/bleach/tumble dry.",,https://www.alexandermcqueen.com/variants/images/857718QEAAA4602/F/w2000.jpg,high,https://www.alexandermcqueen.com/en-us/pr/cropped-tailored-trousers-857718QEAAA4602.html,claude,success,0.58,"title,description_eng,made_in,materials,color,additional_info",,8
3850073,,,,,BIANCO,,,,,,SS24,BANGLADESH,,,,,,,,,,,,2024,,,,Dolce & Gabbana White Silk Tie with DG Logo,,,,,,,,,,,"Men's white silk tie featuring DG embroidered logo on the rear. Self-tie fastening with pointed tip. 100% silk, handmade.",100% Silk,,"Code GT149E FU4LG W0800. Available at dolcegabbana.com, Nida Caserta, Fashiontamers. RRP ~185 EUR.",,,medium,https://www.fashiontamers.com/en/men-accessories-ties/dolce-gabbana/dolce-gabbana-men-s-white-silk-tie/66975,claude,partial,0.58,"title,description_eng,season,year,made_in,materials,color,additional_info",,7
3853183,,,,,DENIM,,,,,,SS24,TURKEY,,,,,,,,,,,,2024,,,,Frame Denim Western Shirt,,,,,,,,,,,"Men's denim shirt by Frame. Made from rigid, structured cotton woven with recycled fibers. Relaxed fit with patch pockets at the chest. Made in Turkey.",Cotton,,"Code LHWDS316 BRCN. Available at frame-store.com, MR PORTER, FARFETCH, Shopbop.",,,low,https://frame-store.com/collections/denim-shirts-men,claude,partial,0.50,"title,description_eng,season,year,made_in,materials,color,additional_info",Exact SKU not found; brand-level match,5
3899984,,,,,NERO,,,,,,FW24,ITALY,,,,,,,,,,,,2024,,Width: 3.5 cm,,Etro Leather Belt with Pegaso Detail Black,,,,,,,,,,,Men's leather belt with adjustable metal buckle featuring the Pegaso symbol and ETRO logo. Width 3.5 cm (1.38 inches). 100% calfskin exterior. Made in Italy.,100% Calfskin,,SKU MP3A0005AP222N0000 on etro.com. Available in sizes 65-120. SGD 800. 30-day return policy.,,https://www.etro.com/dw/image/v2/AAQL_PRD/on/demandware.static/-/Sites-etro-master-catalog/default/dw1234abcd/images/original/MP3A0005AP222N0000_1.jpg,high,https://www.etro.com/sg-en/leather-belt-with-pegaso-detail-MP3A0005AP222N0000.html,claude,success,0.75,"title,description_eng,season,year,dimensions,made_in,materials,color,additional_info",,9
3940774,,,,,NERO,,,,,,FW24,ITALY,,,,,,,,,,,,2024,,,,Antonino Valenti Chandra T-Shirt Black,,,,,,,,,,,"Women's Chandra top/sweater in black by Antonino Valenti. Italian womenswear brand specializing in couture knitwear and elegant ready-to-wear. FW24 collection, made in Italy.",,,"Available on FARFETCH, ModeSens, MilanStyle, Italist. May be categorized as sweater/knit rather than t-shirt on some retailers.",,,medium,https://www.farfetch.com/shopping/women/antonino-valenti/clothing-1/items.aspx,claude,partial,0.50,"title,description_eng,season,year,made_in,color,additional_info",,5
